"id","sequence","name","name@es","name@ca","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_reagyp_sale","","REAGYP - sale (farmer)","REAGYP - venta (agricultor)","REAGYP - venda (agricultor)","","","","","tax_reagyp_s_ns","tax_reagyp_s_12","",""
"","","","","","","","","","tax_reagyp_s_ns","account_tax_template_s_irpf2","",""
"","","","","","","","","","account_tax_template_p_iva21_bc","account_tax_template_p_iva0_nd","",""
"","","","","","","","","","account_tax_template_p_iva10_bc","account_tax_template_p_iva10_nd","",""
"","","","","","","","","","account_tax_template_p_iva4_bc","account_tax_template_p_iva4_nd","",""
